batter,innings,total_runs,total_balls,avg_runs,fours,sixes,fifties,hundreds,strike_rate,runs_Death,runs_Middle,runs_Powerplay,strike_rate_Death,strike_rate_Middle,strike_rate_Powerplay,form_avg_last10,best_venue,best_venue_runs,best_venue_sr,pvs_batting,cluster,archetype
AM Rahane,171,4642,3757,27.15,479,103,32,2,123.56,509.0,1814.0,2319.0,158.57,122.57,118.56,20.3,Brabourne Stadium,136.0,167.9,54.98,1.0,Finisher / Death Specialist
AP Tare,27,339,272,12.56,40,11,1,0,124.63,40.0,73.0,226.0,153.85,162.22,112.44,6.0,Wankhede Stadium,111.0,163.24,25.61,4.0,Utility Batter
AR Patel,112,1653,1259,14.76,107,79,3,0,131.29,900.0,721.0,32.0,152.03,114.26,88.89,19.9,"Brabourne Stadium, Mumbai",60.0,193.55,37.16,4.0,Utility Batter
AT Rayudu,185,4348,3391,23.5,359,173,23,1,128.22,1179.0,2392.0,777.0,170.38,121.36,106.73,11.9,"Punjab Cricket Association IS Bindra Stadium, Mohali",65.0,175.68,50.09,1.0,Finisher / Death Specialist
Abdul Samad,39,579,394,14.85,37,36,0,0,146.95,392.0,185.0,2.0,168.24,116.35,100.0,13.8,Sheikh Zayed Stadium,70.0,175.0,34.82,4.0,Utility Batter
Abhishek Sharma,61,1377,883,22.57,128,73,7,0,155.95,160.0,459.0,758.0,155.34,151.99,158.58,27.3,"Arun Jaitley Stadium, Delhi",113.0,235.42,49.4,2.0,Anchor / Run Machine
Anuj Rawat,21,318,267,15.14,26,14,1,0,119.1,142.0,93.0,83.0,175.31,94.9,94.32,17.3,"Maharashtra Cricket Association Stadium, Pune",66.0,140.43,29.97,4.0,Utility Batter
Azhar Mahmood,21,388,303,18.48,39,13,2,0,128.05,123.0,243.0,22.0,135.16,129.26,91.67,19.4,M Chinnaswamy Stadium,63.0,140.0,35.02,4.0,Utility Batter
B Chipli,21,280,250,13.33,28,7,1,0,112.0,100.0,125.0,55.0,178.57,105.04,73.33,9.9,"Rajiv Gandhi International Stadium, Uppal",118.0,135.63,24.8,0.0,Powerplay Dominator
B Kumar,65,306,325,4.71,30,3,0,0,94.15,280.0,26.0,0.0,96.55,74.29,0.0,6.5,Subrata Roy Sahara Stadium,59.0,92.19,13.89,0.0,Powerplay Dominator
B Sai Sudharsan,25,1034,735,41.36,95,32,7,1,140.68,171.0,591.0,272.0,206.02,140.38,117.75,44.5,"Narendra Modi Stadium, Ahmedabad",603.0,156.22,64.55,2.0,Anchor / Run Machine
BA Stokes,43,935,695,21.74,81,32,4,2,134.53,207.0,488.0,240.0,165.6,125.45,132.6,29.5,Sheikh Zayed Stadium,176.0,181.44,43.8,2.0,Anchor / Run Machine
BB McCullum,109,2882,2176,26.44,293,130,15,2,132.44,181.0,1144.0,1557.0,190.53,132.41,127.94,18.3,Green Park,54.0,180.0,50.4,1.0,Finisher / Death Specialist
BJ Hodge,63,1400,1112,22.22,122,43,6,0,125.9,606.0,646.0,148.0,164.67,111.0,91.36,22.5,SuperSport Park,71.0,161.36,41.57,4.0,Utility Batter
C Green,28,707,457,25.25,62,32,3,1,154.7,204.0,307.0,196.0,200.0,130.08,164.71,23.4,"Wankhede Stadium, Mumbai",229.0,174.81,47.59,2.0,Anchor / Run Machine
C de Grandhomme,21,303,224,14.43,18,18,0,0,135.27,160.0,142.0,1.0,142.86,129.09,50.0,15.5,M.Chinnaswamy Stadium,90.0,180.0,31.88,4.0,Utility Batter
CA Lynn,42,1329,941,31.64,132,66,10,0,141.23,36.0,514.0,779.0,105.88,138.92,145.07,37.4,Saurashtra Cricket Association Stadium,93.0,226.83,56.48,2.0,Anchor / Run Machine
CA Pujara,22,390,390,17.73,50,4,1,0,100.0,47.0,128.0,215.0,114.63,105.79,94.3,21.7,Sharjah Cricket Stadium,75.0,107.14,29.7,0.0,Powerplay Dominator
CH Gayle,141,4997,3331,35.44,408,359,38,6,150.02,581.0,2011.0,2405.0,207.5,156.5,136.18,19.3,Saurashtra Cricket Association Stadium,77.0,202.63,71.18,3.0,Explosive Hitter
CH Morris,49,618,397,12.61,41,35,2,0,155.67,499.0,102.0,17.0,168.01,109.68,242.86,7.4,Feroz Shah Kotla,142.0,221.88,33.03,4.0,Utility Batter
CJ Anderson,29,538,421,18.55,40,31,3,0,127.79,175.0,311.0,52.0,168.27,121.48,85.25,11.6,Wankhede Stadium,163.0,161.39,33.31,4.0,Utility Batter
CL White,45,971,757,21.58,76,38,6,0,128.27,363.0,501.0,107.0,189.06,111.58,92.24,14.2,Subrata Roy Sahara Stadium,78.0,169.57,37.84,4.0,Utility Batter
D Padikkal,64,1559,1262,24.36,170,42,10,1,123.53,114.0,684.0,761.0,139.02,121.71,123.14,10.5,"Himachal Pradesh Cricket Association Stadium, Dharamsala",51.0,170.0,39.79,4.0,Utility Batter
DA Miller,123,2924,2094,23.77,207,134,14,1,139.64,1298.0,1528.0,98.0,177.08,122.14,89.09,21.4,"Arun Jaitley Stadium, Delhi",100.0,217.39,50.69,1.0,Finisher / Death Specialist
DA Warner,184,6567,4682,35.69,663,236,66,4,140.26,628.0,2621.0,3318.0,178.41,135.1,138.83,30.0,JSCA International Stadium Complex,90.0,204.55,76.55,3.0,Explosive Hitter
DB Das,22,304,260,13.82,23,16,0,0,116.92,117.0,129.0,58.0,121.88,116.22,109.43,10.1,Eden Gardens,203.0,130.97,26.28,4.0,Utility Batter
DB Ravi Teja,25,375,315,15.0,35,9,1,0,119.05,169.0,153.0,53.0,140.83,111.68,91.38,14.9,Himachal Pradesh Cricket Association Stadium,60.0,146.34,29.19,4.0,Utility Batter
DJ Bravo,110,1560,1196,14.18,120,66,5,0,130.43,909.0,528.0,123.0,176.16,92.63,111.82,7.0,"Sardar Patel Stadium, Motera",62.0,172.22,32.3,4.0,Utility Batter
DJ Hooda,96,1466,1127,15.27,96,61,8,0,130.08,448.0,858.0,160.0,150.34,127.3,103.23,16.0,Sheikh Zayed Stadium,63.0,203.23,35.7,4.0,Utility Batter
DJ Hussey,61,1322,1070,21.67,90,60,5,0,123.55,410.0,778.0,134.0,179.04,107.16,116.52,22.7,"Rajiv Gandhi International Stadium, Uppal",95.0,139.71,40.76,4.0,Utility Batter
DJG Sammy,20,295,241,14.75,15,18,1,0,122.41,136.0,151.0,8.0,141.67,107.86,160.0,11.5,Sawai Mansingh Stadium,60.0,146.34,28.51,4.0,Utility Batter
DP Conway,22,924,651,42.0,100,30,9,0,141.94,86.0,446.0,392.0,156.36,153.26,128.52,49.1,"M Chinnaswamy Stadium, Bengaluru",83.0,184.44,66.38,2.0,Anchor / Run Machine
DPMD Jayawardene,78,1808,1462,23.18,200,40,11,1,123.67,374.0,823.0,611.0,159.83,113.2,121.96,20.3,"Rajiv Gandhi International Stadium, Uppal",56.0,160.0,42.61,4.0,Utility Batter
DR Smith,88,2385,1755,27.1,245,117,17,0,135.9,168.0,1004.0,1213.0,152.73,148.74,125.05,20.2,"Punjab Cricket Association IS Bindra Stadium, Mohali",74.0,189.74,50.58,1.0,Finisher / Death Specialist
DS Kulkarni,20,104,108,5.2,7,2,0,0,96.3,99.0,5.0,0.0,101.02,50.0,0.0,4.2,0,0.0,0.0,13.44,0.0,Powerplay Dominator
DT Christian,41,460,394,11.22,23,19,0,0,116.75,309.0,148.0,3.0,140.45,89.16,37.5,4.0,"Rajiv Gandhi International Stadium, Uppal",123.0,136.67,22.86,0.0,Powerplay Dominator
DW Steyn,33,167,160,5.06,14,3,0,0,104.38,163.0,4.0,0.0,107.95,44.44,0.0,4.8,"Rajiv Gandhi International Stadium, Uppal",60.0,113.21,15.21,0.0,Powerplay Dominator
Dhruv Jurel,22,347,229,15.77,29,16,2,0,151.53,254.0,93.0,0.0,172.79,117.72,0.0,17.5,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",52.0,152.94,36.77,4.0,Utility Batter
E Lewis,26,654,477,25.15,62,36,4,0,137.11,32.0,202.0,420.0,152.38,118.82,146.85,22.4,Dubai International Cricket Stadium,100.0,161.29,43.75,2.0,Anchor / Run Machine
EJG Morgan,74,1406,1147,19.0,112,64,5,0,122.58,516.0,714.0,176.0,164.33,111.39,91.67,4.1,Brabourne Stadium,70.0,205.88,33.12,4.0,Utility Batter
F du Plessis,138,4571,3345,33.12,422,166,37,0,136.65,568.0,1855.0,2148.0,182.05,126.02,137.6,32.9,Punjab Cricket Association IS Bindra Stadium,96.0,174.55,66.55,1.0,Finisher / Death Specialist
